id,host_id,host_neighbourhood,host_listings_count,host_total_listings_count,neighbourhood_cleansed,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,price,minimum_nights,maximum_nights,number_of_reviews_ltm,review_scores_rating,instant_bookable,reviews_per_month
34868915,1208533,Nob Hill,5,5,Nob Hill,Private room in residential home,Private room,2,,1 private bath,1,1,$160.00 ,1,1125,1,4.66,f,1.1
34878799,107434423,Cambridge,2433,2433,Nob Hill,Entire rental unit,Entire home/apt,2,,1 bath,1,1,$224.00 ,30,1125,0,,t,
34878846,107434423,Cambridge,2433,2433,Marina,Entire rental unit,Entire home/apt,4,,1 bath,2,2,$273.00 ,30,1125,0,,t,
34901719,262054570,Marina,3,3,Marina,Entire guest suite,Entire home/apt,3,,1 bath,1,2,$389.00 ,1,10,60,4.98,t,3.95
34906463,117141107,Haight-Ashbury,43,43,Haight Ashbury,Shared room in hostel,Shared room,1,,5 shared baths,1,1,$110.00 ,1,25,0,4.74,t,1.07
34932707,263228847,Cow Hollow,1,1,Marina,Entire rental unit,Entire home/apt,4,,1 bath,1,2,$289.00 ,5,30,34,4.99,t,3.54
34937940,256063782,Potrero Hill,1,1,Potrero Hill,Entire guest suite,Entire home/apt,4,,1 bath,1,2,$250.00 ,1,30,54,4.89,f,4.11
34977530,4430421,Noe Valley,92,92,Mission,Entire rental unit,Entire home/apt,2,,1 bath,,1,$90.00 ,30,150,2,4.5,f,0.13
34978904,261024482,,1,1,Outer Mission,Private room in residential home,Private room,1,,1 bath,1,1,$34.00 ,30,1125,0,0,f,0.04
34981775,44800516,Crocker Amazon,2,2,Crocker Amazon,Private room in residential home,Private room,1,,1 shared bath,1,1,$46.00 ,30,1125,1,5,f,0.11
35003596,109550778,Nob Hill,1,1,Nob Hill,Entire rental unit,Entire home/apt,3,,1 bath,1,2,$95.00 ,30,1125,5,5,f,0.53
35042200,26860,Arts District,15,15,Downtown/Civic Center,Shared room in residential home,Shared room,1,,2 shared baths,1,5,$45.00 ,30,1125,0,5,f,0.03
35045092,246663575,Fisherman's Wharf,5,5,North Beach,Private room in serviced apartment,Private room,4,,1 private bath,1,2,"$1,499.00 ",5,6,0,,f,
35045208,45670968,Excelsior,0,0,Excelsior,Private room in rental unit,Private room,2,,1 private bath,1,1,$85.00 ,30,1125,0,,t,
35082335,117141107,Haight-Ashbury,43,43,Haight Ashbury,Shared room in hostel,Shared room,1,,5 shared baths,1,1,$100.00 ,1,25,0,4.68,t,0.69
35085928,117141107,Haight-Ashbury,43,43,Haight Ashbury,Shared room in hostel,Shared room,1,,5 shared baths,1,1,$100.00 ,1,25,0,5,t,0.47
